Individuals,Species,Temperature,Development_Time
1,Gryllodes sigillatus,28,48
2,Gryllodes sigillatus,28,49
4,Gryllodes sigillatus,28,47
6,Gryllodes sigillatus,28,48
7,Gryllodes sigillatus,28,48
8,Gryllodes sigillatus,28,49
9,Gryllodes sigillatus,28,48
10,Gryllodes sigillatus,28,48
11,Gryllodes sigillatus,28,47
12,Gryllodes sigillatus,28,48
13,Gryllodes sigillatus,28,48
14,Gryllodes sigillatus,28,47
15,Gryllodes sigillatus,28,48
16,Gryllodes sigillatus,28,47
17,Gryllodes sigillatus,28,48
18,Gryllodes sigillatus,28,48
19,Gryllodes sigillatus,28,48
21,Gryllodes sigillatus,28,49
22,Gryllodes sigillatus,28,48
23,Gryllodes sigillatus,28,48
25,Gryllodes sigillatus,28,48
26,Gryllodes sigillatus,28,47
28,Gryllodes sigillatus,28,47
29,Gryllodes sigillatus,28,48
30,Gryllodes sigillatus,28,48
31,Gryllodes sigillatus,28,48
32,Gryllodes sigillatus,28,49
33,Gryllodes sigillatus,28,47
35,Gryllodes sigillatus,28,47
36,Gryllodes sigillatus,28,48
37,Gryllodes sigillatus,28,48
38,Gryllodes sigillatus,28,48
39,Gryllodes sigillatus,28,47
40,Gryllodes sigillatus,28,49
42,Gryllodes sigillatus,28,48
43,Gryllodes sigillatus,28,48
44,Gryllodes sigillatus,28,48
45,Gryllodes sigillatus,28,47
46,Gryllodes sigillatus,28,49
48,Gryllodes sigillatus,28,47
50,Gryllodes sigillatus,28,48
51,Gryllodes sigillatus,28,47
52,Gryllodes sigillatus,28,47
53,Gryllodes sigillatus,28,48
54,Gryllodes sigillatus,28,48
55,Gryllodes sigillatus,28,47
56,Gryllodes sigillatus,28,48
57,Gryllodes sigillatus,28,48
58,Gryllodes sigillatus,28,48
59,Gryllodes sigillatus,28,49
60,Gryllodes sigillatus,28,47
61,Gryllodes sigillatus,28,48
62,Gryllodes sigillatus,28,48
63,Gryllodes sigillatus,28,49
64,Gryllodes sigillatus,28,49
66,Gryllodes sigillatus,28,48
67,Gryllodes sigillatus,28,48
68,Gryllodes sigillatus,28,48
69,Gryllodes sigillatus,28,47
70,Gryllodes sigillatus,28,48
72,Gryllodes sigillatus,28,48
73,Gryllodes sigillatus,28,47
75,Gryllodes sigillatus,28,47
76,Gryllodes sigillatus,28,48
77,Gryllodes sigillatus,28,47
78,Gryllodes sigillatus,28,49
79,Gryllodes sigillatus,28,47
80,Gryllodes sigillatus,28,48
81,Gryllodes sigillatus,28,47
82,Gryllodes sigillatus,28,48
83,Gryllodes sigillatus,28,47
85,Gryllodes sigillatus,28,47
86,Gryllodes sigillatus,28,47
87,Gryllodes sigillatus,28,48
88,Gryllodes sigillatus,28,48
90,Gryllodes sigillatus,28,48
91,Gryllodes sigillatus,28,48
93,Gryllodes sigillatus,28,49
94,Gryllodes sigillatus,28,48
95,Gryllodes sigillatus,28,48
96,Gryllodes sigillatus,28,48
97,Gryllodes sigillatus,28,48
98,Gryllodes sigillatus,28,49
99,Gryllodes sigillatus,28,47
101,Gryllodes sigillatus,28,47
102,Gryllodes sigillatus,28,49
103,Gryllodes sigillatus,28,47
105,Gryllodes sigillatus,28,47
106,Gryllodes sigillatus,28,48
107,Gryllodes sigillatus,28,47
108,Gryllodes sigillatus,28,47
112,Gryllodes sigillatus,28,49
113,Gryllodes sigillatus,28,49
115,Gryllodes sigillatus,28,48
116,Gryllodes sigillatus,28,48
117,Gryllodes sigillatus,28,49
118,Gryllodes sigillatus,28,47
119,Gryllodes sigillatus,28,47
120,Gryllodes sigillatus,28,48
121,Gryllodes sigillatus,28,48
123,Gryllodes sigillatus,28,48
124,Gryllodes sigillatus,28,48
125,Gryllodes sigillatus,28,47
126,Gryllodes sigillatus,28,48
127,Gryllodes sigillatus,28,48
129,Gryllodes sigillatus,28,47
130,Gryllodes sigillatus,28,48
132,Gryllodes sigillatus,28,49
133,Gryllodes sigillatus,28,48
134,Gryllodes sigillatus,28,48
135,Gryllodes sigillatus,28,49
136,Gryllodes sigillatus,28,47
137,Gryllodes sigillatus,28,48
138,Gryllodes sigillatus,28,48
140,Gryllodes sigillatus,28,47
141,Gryllodes sigillatus,28,48
142,Gryllodes sigillatus,28,48
143,Gryllodes sigillatus,28,47
144,Gryllodes sigillatus,28,47
145,Gryllodes sigillatus,28,47
147,Gryllodes sigillatus,28,48
148,Gryllodes sigillatus,28,47
149,Gryllodes sigillatus,28,48
1,Gryllodes sigillatus,30,53
2,Gryllodes sigillatus,30,56
7,Gryllodes sigillatus,30,55
9,Gryllodes sigillatus,30,56
10,Gryllodes sigillatus,30,55
11,Gryllodes sigillatus,30,53
12,Gryllodes sigillatus,30,53
13,Gryllodes sigillatus,30,56
14,Gryllodes sigillatus,30,53
16,Gryllodes sigillatus,30,53
17,Gryllodes sigillatus,30,53
19,Gryllodes sigillatus,30,53
21,Gryllodes sigillatus,30,53
23,Gryllodes sigillatus,30,56
25,Gryllodes sigillatus,30,53
28,Gryllodes sigillatus,30,56
29,Gryllodes sigillatus,30,53
31,Gryllodes sigillatus,30,53
32,Gryllodes sigillatus,30,56
33,Gryllodes sigillatus,30,55
35,Gryllodes sigillatus,30,56
37,Gryllodes sigillatus,30,53
38,Gryllodes sigillatus,30,56
39,Gryllodes sigillatus,30,53
40,Gryllodes sigillatus,30,53
44,Gryllodes sigillatus,30,53
45,Gryllodes sigillatus,30,53
46,Gryllodes sigillatus,30,53
48,Gryllodes sigillatus,30,53
51,Gryllodes sigillatus,30,53
52,Gryllodes sigillatus,30,56
53,Gryllodes sigillatus,30,55
54,Gryllodes sigillatus,30,56
55,Gryllodes sigillatus,30,55
56,Gryllodes sigillatus,30,53
57,Gryllodes sigillatus,30,56
59,Gryllodes sigillatus,30,53
60,Gryllodes sigillatus,30,53
61,Gryllodes sigillatus,30,53
62,Gryllodes sigillatus,30,53
63,Gryllodes sigillatus,30,53
64,Gryllodes sigillatus,30,53
66,Gryllodes sigillatus,30,56
67,Gryllodes sigillatus,30,53
70,Gryllodes sigillatus,30,53
72,Gryllodes sigillatus,30,56
73,Gryllodes sigillatus,30,53
75,Gryllodes sigillatus,30,55
76,Gryllodes sigillatus,30,53
77,Gryllodes sigillatus,30,53
78,Gryllodes sigillatus,30,56
79,Gryllodes sigillatus,30,53
80,Gryllodes sigillatus,30,53
81,Gryllodes sigillatus,30,56
82,Gryllodes sigillatus,30,56
83,Gryllodes sigillatus,30,53
85,Gryllodes sigillatus,30,53
90,Gryllodes sigillatus,30,53
91,Gryllodes sigillatus,30,53
93,Gryllodes sigillatus,30,56
94,Gryllodes sigillatus,30,56
95,Gryllodes sigillatus,30,56
96,Gryllodes sigillatus,30,53
101,Gryllodes sigillatus,30,56
102,Gryllodes sigillatus,30,55
103,Gryllodes sigillatus,30,53
106,Gryllodes sigillatus,30,53
107,Gryllodes sigillatus,30,53
108,Gryllodes sigillatus,30,53
112,Gryllodes sigillatus,30,56
113,Gryllodes sigillatus,30,53
115,Gryllodes sigillatus,30,53
116,Gryllodes sigillatus,30,53
117,Gryllodes sigillatus,30,56
118,Gryllodes sigillatus,30,53
119,Gryllodes sigillatus,30,53
120,Gryllodes sigillatus,30,56
121,Gryllodes sigillatus,30,55
124,Gryllodes sigillatus,30,53
125,Gryllodes sigillatus,30,53
127,Gryllodes sigillatus,30,56
129,Gryllodes sigillatus,30,55
132,Gryllodes sigillatus,30,55
133,Gryllodes sigillatus,30,56
134,Gryllodes sigillatus,30,53
135,Gryllodes sigillatus,30,53
136,Gryllodes sigillatus,30,53
137,Gryllodes sigillatus,30,53
138,Gryllodes sigillatus,30,53
140,Gryllodes sigillatus,30,53
141,Gryllodes sigillatus,30,53
143,Gryllodes sigillatus,30,56
144,Gryllodes sigillatus,30,55
147,Gryllodes sigillatus,30,53
148,Gryllodes sigillatus,30,56
149,Gryllodes sigillatus,30,53
1,Gryllus bimaculatus,28,34
2,Gryllus bimaculatus,28,34
4,Gryllus bimaculatus,28,32
6,Gryllus bimaculatus,28,34
7,Gryllus bimaculatus,28,34
9,Gryllus bimaculatus,28,35
10,Gryllus bimaculatus,28,35
11,Gryllus bimaculatus,28,34
12,Gryllus bimaculatus,28,34
13,Gryllus bimaculatus,28,32
14,Gryllus bimaculatus,28,34
16,Gryllus bimaculatus,28,34
17,Gryllus bimaculatus,28,35
19,Gryllus bimaculatus,28,34
21,Gryllus bimaculatus,28,32
23,Gryllus bimaculatus,28,34
25,Gryllus bimaculatus,28,35
26,Gryllus bimaculatus,28,32
28,Gryllus bimaculatus,28,34
29,Gryllus bimaculatus,28,34
31,Gryllus bimaculatus,28,34
32,Gryllus bimaculatus,28,32
33,Gryllus bimaculatus,28,34
35,Gryllus bimaculatus,28,35
37,Gryllus bimaculatus,28,35
38,Gryllus bimaculatus,28,34
39,Gryllus bimaculatus,28,32
40,Gryllus bimaculatus,28,35
44,Gryllus bimaculatus,28,32
45,Gryllus bimaculatus,28,34
46,Gryllus bimaculatus,28,34
48,Gryllus bimaculatus,28,32
50,Gryllus bimaculatus,28,32
51,Gryllus bimaculatus,28,34
52,Gryllus bimaculatus,28,34
53,Gryllus bimaculatus,28,34
54,Gryllus bimaculatus,28,34
55,Gryllus bimaculatus,28,34
56,Gryllus bimaculatus,28,34
57,Gryllus bimaculatus,28,32
59,Gryllus bimaculatus,28,34
60,Gryllus bimaculatus,28,34
61,Gryllus bimaculatus,28,34
62,Gryllus bimaculatus,28,34
63,Gryllus bimaculatus,28,34
64,Gryllus bimaculatus,28,34
66,Gryllus bimaculatus,28,34
67,Gryllus bimaculatus,28,34
69,Gryllus bimaculatus,28,35
70,Gryllus bimaculatus,28,35
72,Gryllus bimaculatus,28,32
73,Gryllus bimaculatus,28,32
75,Gryllus bimaculatus,28,34
76,Gryllus bimaculatus,28,34
77,Gryllus bimaculatus,28,32
78,Gryllus bimaculatus,28,32
79,Gryllus bimaculatus,28,34
80,Gryllus bimaculatus,28,34
81,Gryllus bimaculatus,28,32
82,Gryllus bimaculatus,28,34
83,Gryllus bimaculatus,28,34
85,Gryllus bimaculatus,28,32
87,Gryllus bimaculatus,28,34
88,Gryllus bimaculatus,28,32
90,Gryllus bimaculatus,28,32
91,Gryllus bimaculatus,28,34
93,Gryllus bimaculatus,28,34
94,Gryllus bimaculatus,28,32
95,Gryllus bimaculatus,28,32
96,Gryllus bimaculatus,28,34
98,Gryllus bimaculatus,28,32
99,Gryllus bimaculatus,28,32
101,Gryllus bimaculatus,28,32
102,Gryllus bimaculatus,28,35
103,Gryllus bimaculatus,28,34
105,Gryllus bimaculatus,28,34
106,Gryllus bimaculatus,28,32
107,Gryllus bimaculatus,28,34
108,Gryllus bimaculatus,28,34
112,Gryllus bimaculatus,28,34
113,Gryllus bimaculatus,28,34
115,Gryllus bimaculatus,28,34
116,Gryllus bimaculatus,28,34
117,Gryllus bimaculatus,28,34
118,Gryllus bimaculatus,28,34
119,Gryllus bimaculatus,28,34
120,Gryllus bimaculatus,28,35
121,Gryllus bimaculatus,28,34
124,Gryllus bimaculatus,28,34
125,Gryllus bimaculatus,28,34
126,Gryllus bimaculatus,28,32
127,Gryllus bimaculatus,28,34
129,Gryllus bimaculatus,28,35
132,Gryllus bimaculatus,28,34
133,Gryllus bimaculatus,28,32
134,Gryllus bimaculatus,28,34
135,Gryllus bimaculatus,28,34
136,Gryllus bimaculatus,28,32
137,Gryllus bimaculatus,28,34
138,Gryllus bimaculatus,28,34
140,Gryllus bimaculatus,28,32
141,Gryllus bimaculatus,28,34
143,Gryllus bimaculatus,28,32
144,Gryllus bimaculatus,28,34
145,Gryllus bimaculatus,28,34
147,Gryllus bimaculatus,28,34
148,Gryllus bimaculatus,28,32
149,Gryllus bimaculatus,28,34
1,Gryllus bimaculatus,30,30
2,Gryllus bimaculatus,30,29
4,Gryllus bimaculatus,30,28
6,Gryllus bimaculatus,30,28
7,Gryllus bimaculatus,30,30
9,Gryllus bimaculatus,30,28
10,Gryllus bimaculatus,30,28
11,Gryllus bimaculatus,30,29
12,Gryllus bimaculatus,30,28
13,Gryllus bimaculatus,30,30
14,Gryllus bimaculatus,30,29
16,Gryllus bimaculatus,30,28
17,Gryllus bimaculatus,30,29
18,Gryllus bimaculatus,30,30
19,Gryllus bimaculatus,30,29
21,Gryllus bimaculatus,30,29
23,Gryllus bimaculatus,30,28
25,Gryllus bimaculatus,30,30
26,Gryllus bimaculatus,30,28
28,Gryllus bimaculatus,30,29
29,Gryllus bimaculatus,30,28
31,Gryllus bimaculatus,30,28
32,Gryllus bimaculatus,30,30
33,Gryllus bimaculatus,30,29
35,Gryllus bimaculatus,30,28
37,Gryllus bimaculatus,30,28
38,Gryllus bimaculatus,30,28
39,Gryllus bimaculatus,30,30
40,Gryllus bimaculatus,30,29
44,Gryllus bimaculatus,30,30
45,Gryllus bimaculatus,30,29
46,Gryllus bimaculatus,30,28
48,Gryllus bimaculatus,30,28
50,Gryllus bimaculatus,30,30
51,Gryllus bimaculatus,30,29
52,Gryllus bimaculatus,30,28
53,Gryllus bimaculatus,30,30
54,Gryllus bimaculatus,30,28
55,Gryllus bimaculatus,30,28
56,Gryllus bimaculatus,30,29
57,Gryllus bimaculatus,30,30
59,Gryllus bimaculatus,30,29
60,Gryllus bimaculatus,30,29
61,Gryllus bimaculatus,30,28
62,Gryllus bimaculatus,30,28
63,Gryllus bimaculatus,30,28
64,Gryllus bimaculatus,30,30
66,Gryllus bimaculatus,30,29
67,Gryllus bimaculatus,30,29
69,Gryllus bimaculatus,30,30
70,Gryllus bimaculatus,30,29
72,Gryllus bimaculatus,30,28
73,Gryllus bimaculatus,30,28
75,Gryllus bimaculatus,30,28
76,Gryllus bimaculatus,30,28
77,Gryllus bimaculatus,30,28
78,Gryllus bimaculatus,30,28
79,Gryllus bimaculatus,30,29
80,Gryllus bimaculatus,30,30
81,Gryllus bimaculatus,30,28
82,Gryllus bimaculatus,30,28
83,Gryllus bimaculatus,30,28
85,Gryllus bimaculatus,30,29
86,Gryllus bimaculatus,30,30
87,Gryllus bimaculatus,30,28
88,Gryllus bimaculatus,30,29
90,Gryllus bimaculatus,30,28
91,Gryllus bimaculatus,30,28
93,Gryllus bimaculatus,30,29
94,Gryllus bimaculatus,30,30
95,Gryllus bimaculatus,30,28
96,Gryllus bimaculatus,30,28
98,Gryllus bimaculatus,30,28
99,Gryllus bimaculatus,30,29
101,Gryllus bimaculatus,30,29
102,Gryllus bimaculatus,30,29
103,Gryllus bimaculatus,30,30
105,Gryllus bimaculatus,30,29
106,Gryllus bimaculatus,30,28
107,Gryllus bimaculatus,30,29
108,Gryllus bimaculatus,30,30
112,Gryllus bimaculatus,30,28
113,Gryllus bimaculatus,30,29
115,Gryllus bimaculatus,30,28
116,Gryllus bimaculatus,30,30
117,Gryllus bimaculatus,30,29
118,Gryllus bimaculatus,30,29
119,Gryllus bimaculatus,30,30
120,Gryllus bimaculatus,30,29
121,Gryllus bimaculatus,30,28
124,Gryllus bimaculatus,30,29
125,Gryllus bimaculatus,30,29
126,Gryllus bimaculatus,30,30
127,Gryllus bimaculatus,30,29
129,Gryllus bimaculatus,30,28
130,Gryllus bimaculatus,30,28
132,Gryllus bimaculatus,30,30
133,Gryllus bimaculatus,30,29
134,Gryllus bimaculatus,30,28
135,Gryllus bimaculatus,30,30
136,Gryllus bimaculatus,30,29
137,Gryllus bimaculatus,30,28
138,Gryllus bimaculatus,30,28
140,Gryllus bimaculatus,30,30
141,Gryllus bimaculatus,30,29
143,Gryllus bimaculatus,30,28
144,Gryllus bimaculatus,30,30
145,Gryllus bimaculatus,30,30
147,Gryllus bimaculatus,30,29
148,Gryllus bimaculatus,30,28
149,Gryllus bimaculatus,30,28
1,Teleogryllus lemur,28,58
2,Teleogryllus lemur,28,59
3,Teleogryllus lemur,28,59
4,Teleogryllus lemur,28,58
5,Teleogryllus lemur,28,58
6,Teleogryllus lemur,28,59
7,Teleogryllus lemur,28,58
8,Teleogryllus lemur,28,59
9,Teleogryllus lemur,28,59
10,Teleogryllus lemur,28,59
12,Teleogryllus lemur,28,59
13,Teleogryllus lemur,28,58
14,Teleogryllus lemur,28,59
15,Teleogryllus lemur,28,58
