Temperature,Species,Individuals,Sex,Date,Day,Stage,BL,BW,Mortality
28,Gryllodes sigillatus,1,F,15/11/23,7,L1,3.5,0.001,N
28,Gryllodes sigillatus,2,M,15/11/23,7,L1,3.5,0.002,N
28,Gryllodes sigillatus,3,M,15/11/23,7,L1,3,0.001,N
28,Gryllodes sigillatus,4,F,15/11/23,7,L1,3,0.001,N
28,Gryllodes sigillatus,5,F,15/11/23,7,L1,3,0.001,N
28,Gryllodes sigillatus,6,F,15/11/23,7,L1,3,0.001,N
28,Gryllodes sigillatus,7,F,15/11/23,7,L1,4,0.003,N
28,Gryllodes sigillatus,8,M,15/11/23,7,L1,3.5,0.002,N
28,Gryllodes sigillatus,9,F,15/11/23,7,L1,3,0.001,N
28,Gryllodes sigillatus,10,F,15/11/23,7,L1,3.5,0.001,N
28,Gryllodes sigillatus,11,F,15/11/23,7,L1,4,0.002,N
28,Gryllodes sigillatus,12,M,15/11/23,7,L1,2.5,0.001,N
28,Gryllodes sigillatus,13,M,15/11/23,7,L1,3,0.001,N
28,Gryllodes sigillatus,14,F,15/11/23,7,L1,3,0.001,N
28,Gryllodes sigillatus,15,F,15/11/23,7,L1,4,0.003,N
28,Gryllodes sigillatus,16,F,15/11/23,7,L1,4,0.002,N
28,Gryllodes sigillatus,17,M,15/11/23,7,L1,2.5,0.001,N
28,Gryllodes sigillatus,18,M,15/11/23,7,L1,3,0.001,N
28,Gryllodes sigillatus,19,M,15/11/23,7,L1,2.5,0.001,N
28,Gryllodes sigillatus,20,M,15/11/23,7,L1,3.5,0.002,N
28,Gryllodes sigillatus,21,M,15/11/23,7,L1,3.5,0.002,N
28,Gryllodes sigillatus,22,M,15/11/23,7,L1,4,0.003,N
28,Gryllodes sigillatus,23,F,15/11/23,7,L1,4,0.003,N
28,Gryllodes sigillatus,24,F,15/11/23,7,L1,4,0.003,N
28,Gryllodes sigillatus,25,F,15/11/23,7,L1,3,0.001,N
28,Gryllodes sigillatus,26,F,15/11/23,7,L1,3,0.001,N
28,Gryllodes sigillatus,27,M,15/11/23,7,L1,3.5,0.002,N
28,Gryllodes sigillatus,28,F,15/11/23,7,L1,4,0.002,N
28,Gryllodes sigillatus,29,F,15/11/23,7,L1,3,0.001,N
28,Gryllodes sigillatus,30,F,15/11/23,7,L1,4,0.003,N
28,Gryllodes sigillatus,31,M,15/11/23,7,L1,3,0.001,N
28,Gryllodes sigillatus,32,M,15/11/23,7,L1,3.5,0.002,N
28,Gryllodes sigillatus,33,F,15/11/23,7,L1,3,0.001,N
28,Gryllodes sigillatus,34,M,15/11/23,7,L1,2.5,0.001,N
28,Gryllodes sigillatus,35,F,15/11/23,7,L1,2.5,0.001,N
28,Gryllodes sigillatus,36,F,15/11/23,7,L1,3,0.001,N
28,Gryllodes sigillatus,37,M,15/11/23,7,L1,2.5,0.001,N
28,Gryllodes sigillatus,38,F,15/11/23,7,L1,4,0.003,N
28,Gryllodes sigillatus,39,F,15/11/23,7,L1,3,0.001,N
28,Gryllodes sigillatus,40,M,15/11/23,7,L1,3,0.001,N
28,Gryllodes sigillatus,41,F,15/11/23,7,L1,3,0.001,N
28,Gryllodes sigillatus,42,M,15/11/23,7,L1,2.5,0.001,N
28,Gryllodes sigillatus,43,F,15/11/23,7,L1,4,0.003,N
28,Gryllodes sigillatus,44,M,15/11/23,7,L1,2.5,0.001,N
28,Gryllodes sigillatus,45,F,15/11/23,7,L1,4,0.002,N
28,Gryllodes sigillatus,46,M,15/11/23,7,L1,3,0.001,N
28,Gryllodes sigillatus,47,F,15/11/23,7,L1,2.5,0.001,N
28,Gryllodes sigillatus,48,F,15/11/23,7,L1,4,0.002,N
28,Gryllodes sigillatus,49,M,15/11/23,7,L1,3,0.001,N
28,Gryllodes sigillatus,50,F,15/11/23,7,L1,4,0.003,N
28,Gryllodes sigillatus,51,F,15/11/23,7,L1,4,0.002,N
28,Gryllodes sigillatus,52,F,15/11/23,7,L1,4,0.003,N
28,Gryllodes sigillatus,53,F,15/11/23,7,L1,4,0.003,N
28,Gryllodes sigillatus,54,F,15/11/23,7,L1,4,0.003,N
28,Gryllodes sigillatus,55,F,15/11/23,7,L1,4,0.003,N
28,Gryllodes sigillatus,56,M,15/11/23,7,L1,2.5,0.001,N
28,Gryllodes sigillatus,57,M,15/11/23,7,L1,2.5,0.001,N
28,Gryllodes sigillatus,58,M,15/11/23,7,L1,3,0.001,N
28,Gryllodes sigillatus,59,M,15/11/23,7,L1,3.5,0.002,N
28,Gryllodes sigillatus,60,F,15/11/23,7,L1,3,0.001,N
28,Gryllodes sigillatus,61,F,15/11/23,7,L1,3,0.001,N
28,Gryllodes sigillatus,62,M,15/11/23,7,L1,2.5,0.001,N
28,Gryllodes sigillatus,63,M,15/11/23,7,L1,3.5,0.002,N
28,Gryllodes sigillatus,64,M,15/11/23,7,L1,3.5,0.002,N
28,Gryllodes sigillatus,65,F,15/11/23,7,L1,3,0.001,N
28,Gryllodes sigillatus,66,M,15/11/23,7,L1,2.5,0.001,N
28,Gryllodes sigillatus,67,F,15/11/23,7,L1,4,0.003,N
28,Gryllodes sigillatus,68,F,15/11/23,7,L1,4,0.003,N
28,Gryllodes sigillatus,69,M,15/11/23,7,L1,3,0.001,N
28,Gryllodes sigillatus,70,M,15/11/23,7,L1,3,0.001,N
28,Gryllodes sigillatus,71,M,15/11/23,7,L1,2.5,0.001,N
28,Gryllodes sigillatus,72,M,15/11/23,7,L1,4,0.003,N
28,Gryllodes sigillatus,73,F,15/11/23,7,L1,3,0.001,N
28,Gryllodes sigillatus,74,M,15/11/23,7,L1,2.5,0.001,N
28,Gryllodes sigillatus,75,F,15/11/23,7,L1,4,0.002,N
28,Gryllodes sigillatus,76,F,15/11/23,7,L1,3,0.001,N
28,Gryllodes sigillatus,77,M,15/11/23,7,L1,3,0.001,N
28,Gryllodes sigillatus,78,M,15/11/23,7,L1,3.5,0.002,N
28,Gryllodes sigillatus,79,F,15/11/23,7,L1,4,0.003,N
28,Gryllodes sigillatus,80,F,15/11/23,7,L1,3,0.001,N
28,Gryllodes sigillatus,81,F,15/11/23,7,L1,4,0.002,N
28,Gryllodes sigillatus,82,F,15/11/23,7,L1,3,0.001,N
28,Gryllodes sigillatus,83,F,15/11/23,7,L1,3,0.001,N
28,Gryllodes sigillatus,84,F,15/11/23,7,L1,4,0.003,N
28,Gryllodes sigillatus,85,F,15/11/23,7,L1,4,0.002,N
28,Gryllodes sigillatus,86,F,15/11/23,7,L1,3,0.001,N
28,Gryllodes sigillatus,87,M,15/11/23,7,L1,2.5,0.001,N
28,Gryllodes sigillatus,88,F,15/11/23,7,L1,3,0.001,N
28,Gryllodes sigillatus,89,F,15/11/23,7,L1,3,0.001,N
28,Gryllodes sigillatus,90,M,15/11/23,7,L1,3,0.001,N
28,Gryllodes sigillatus,91,F,15/11/23,7,L1,3,0.001,N
28,Gryllodes sigillatus,92,F,15/11/23,7,L1,3.5,0.001,N
28,Gryllodes sigillatus,93,M,15/11/23,7,L1,3.5,0.002,N
28,Gryllodes sigillatus,94,M,15/11/23,7,L1,3,0.001,N
28,Gryllodes sigillatus,95,M,15/11/23,7,L1,2.5,0.001,N
28,Gryllodes sigillatus,96,F,15/11/23,7,L1,4,0.003,N
28,Gryllodes sigillatus,97,F,15/11/23,7,L1,3,0.001,N
28,Gryllodes sigillatus,98,M,15/11/23,7,L1,3,0.001,N
28,Gryllodes sigillatus,99,F,15/11/23,7,L1,3,0.001,N
28,Gryllodes sigillatus,100,M,15/11/23,7,L1,3,0.001,N
28,Gryllodes sigillatus,101,F,15/11/23,7,L1,3,0.001,N
28,Gryllodes sigillatus,102,M,15/11/23,7,L1,3.5,0.002,N
28,Gryllodes sigillatus,103,F,15/11/23,7,L1,3,0.001,N
28,Gryllodes sigillatus,104,F,15/11/23,7,L1,3,0.001,N
28,Gryllodes sigillatus,105,F,15/11/23,7,L1,3,0.001,N
28,Gryllodes sigillatus,106,M,15/11/23,7,L1,2.5,0.001,N
28,Gryllodes sigillatus,107,F,15/11/23,7,L1,3,0.001,N
28,Gryllodes sigillatus,108,F,15/11/23,7,L1,3,0.001,N
28,Gryllodes sigillatus,109,M,15/11/23,7,L1,3,0.001,N
28,Gryllodes sigillatus,110,F,15/11/23,7,L1,4,0.002,N
28,Gryllodes sigillatus,111,F,15/11/23,7,L1,2.5,0.001,N
28,Gryllodes sigillatus,112,M,15/11/23,7,L1,3.5,0.002,N
28,Gryllodes sigillatus,113,M,15/11/23,7,L1,3.5,0.002,N
28,Gryllodes sigillatus,114,F,15/11/23,7,L1,3,0.001,N
28,Gryllodes sigillatus,115,M,15/11/23,7,L1,3,0.001,N
28,Gryllodes sigillatus,116,F,15/11/23,7,L1,3,0.001,N
28,Gryllodes sigillatus,117,M,15/11/23,7,L1,3,0.001,N
28,Gryllodes sigillatus,118,F,15/11/23,7,L1,4,0.002,N
28,Gryllodes sigillatus,119,F,15/11/23,7,L1,2.5,0.001,N
28,Gryllodes sigillatus,120,F,15/11/23,7,L1,4,0.003,N
28,Gryllodes sigillatus,121,F,15/11/23,7,L1,2.5,0.001,N
28,Gryllodes sigillatus,122,F,15/11/23,7,L1,3,0.001,N
28,Gryllodes sigillatus,123,M,15/11/23,7,L1,2.5,0.001,N
28,Gryllodes sigillatus,124,F,15/11/23,7,L1,3,0.001,N
28,Gryllodes sigillatus,125,F,15/11/23,7,L1,4,0.003,N
28,Gryllodes sigillatus,126,M,15/11/23,7,L1,3,0.001,N
28,Gryllodes sigillatus,127,M,15/11/23,7,L1,4,0.003,N
28,Gryllodes sigillatus,128,F,15/11/23,7,L1,4,0.003,N
28,Gryllodes sigillatus,129,F,15/11/23,7,L1,3,0.001,N
28,Gryllodes sigillatus,130,M,15/11/23,7,L1,3,0.001,N
28,Gryllodes sigillatus,131,F,15/11/23,7,L1,3,0.001,N
28,Gryllodes sigillatus,132,M,15/11/23,7,L1,3.5,0.002,N
28,Gryllodes sigillatus,133,F,15/11/23,7,L1,3,0.001,N
28,Gryllodes sigillatus,134,M,15/11/23,7,L1,2.5,0.001,N
28,Gryllodes sigillatus,135,M,15/11/23,7,L1,3,0.001,N
28,Gryllodes sigillatus,136,F,15/11/23,7,L1,4,0.002,N
28,Gryllodes sigillatus,137,F,15/11/23,7,L1,3.5,0.001,N
28,Gryllodes sigillatus,138,F,15/11/23,7,L1,3.5,0.001,N
28,Gryllodes sigillatus,139,M,15/11/23,7,L1,3,0.001,N
28,Gryllodes sigillatus,140,F,15/11/23,7,L1,3,0.001,N
28,Gryllodes sigillatus,141,M,15/11/23,7,L1,2.5,0.001,N
28,Gryllodes sigillatus,142,M,15/11/23,7,L1,2.5,0.001,N
28,Gryllodes sigillatus,143,F,15/11/23,7,L1,4,0.003,N
28,Gryllodes sigillatus,144,F,15/11/23,7,L1,3,0.001,N
28,Gryllodes sigillatus,145,F,15/11/23,7,L1,2.5,0.001,N
28,Gryllodes sigillatus,146,M,15/11/23,7,L1,3,0.001,N
28,Gryllodes sigillatus,147,M,15/11/23,7,L1,2.5,0.001,N
28,Gryllodes sigillatus,148,F,15/11/23,7,L1,3,0.001,N
28,Gryllodes sigillatus,149,F,15/11/23,7,L1,3.5,0.001,N
28,Gryllodes sigillatus,150,M,15/11/23,7,L1,3,0.001,N
28,Gryllodes sigillatus,1,F,22/11/23,14,L2,5,0.01,N
28,Gryllodes sigillatus,2,M,22/11/23,14,L2,5,0.011,N
28,Gryllodes sigillatus,3,M,22/11/23,14,L2,5,0.013,N
28,Gryllodes sigillatus,4,F,22/11/23,14,L2,4.5,0.006,N
28,Gryllodes sigillatus,5,F,22/11/23,14,L2,4,0.009,N
28,Gryllodes sigillatus,6,F,22/11/23,14,L2,4,0.007,N
28,Gryllodes sigillatus,7,F,22/11/23,14,L2,5.5,0.013,N
28,Gryllodes sigillatus,8,M,22/11/23,14,L2,5,0.009,N
28,Gryllodes sigillatus,9,F,22/11/23,14,L2,4,0.009,N
28,Gryllodes sigillatus,10,F,22/11/23,14,L2,5,0.007,N
28,Gryllodes sigillatus,11,F,22/11/23,14,L2,5,0.013,N
28,Gryllodes sigillatus,12,M,22/11/23,14,L2,5,0.008,N
28,Gryllodes sigillatus,13,M,22/11/23,14,L2,5,0.01,N
28,Gryllodes sigillatus,14,F,22/11/23,14,L2,4.5,0.005,N
28,Gryllodes sigillatus,15,F,22/11/23,14,L2,4.5,0.004,N
28,Gryllodes sigillatus,16,F,22/11/23,14,L2,5,0.012,N
28,Gryllodes sigillatus,17,M,22/11/23,14,L2,5,0.011,N
28,Gryllodes sigillatus,18,M,22/11/23,14,L2,5,0.01,N
28,Gryllodes sigillatus,19,M,22/11/23,14,L2,5,0.01,N
28,Gryllodes sigillatus,20,M,22/11/23,14,L2,4,0.01,N
28,Gryllodes sigillatus,21,M,22/11/23,14,L2,4,0.007,N
